RESOURCETYPE,CERTIFICATION,ENABLED
Microsoft.ImportExport/locations,PROTECTED,TRUE
Microsoft.ImportExport/locations/operationResults,PROTECTED,TRUE
Microsoft.ImportExport/operations,PROTECTED,TRUE
microsoft.insights/actiongroups,,
microsoft.insights/activityLogAlerts,,
microsoft.insights/alertrules,,
microsoft.insights/automatedExportSettings,,
microsoft.insights/autoscalesettings,,
microsoft.insights/components,,
microsoft.insights/components/events,,
microsoft.insights/components/metrics,,
microsoft.insights/components/pricingPlans,,
microsoft.insights/components/query,,
microsoft.insights/diagnosticSettings,,
microsoft.insights/diagnosticSettingsCategories,,
microsoft.insights/extendedDiagnosticSettings,,
microsoft.insights/listMigrationdate,,
microsoft.insights/locations,,
microsoft.insights/logDefinitions,,
microsoft.insights/logs,,
microsoft.insights/metricalerts,,
microsoft.insights/metricDefinitions,,
microsoft.insights/metricNamespaces,,
microsoft.insights/metrics,,
microsoft.insights/migrateToNewPricingModel,,
microsoft.insights/myWorkbooks,,
microsoft.insights/queries,,
microsoft.insights/rollbackToLegacyPricingModel,,
microsoft.insights/scheduledqueryrules,,
microsoft.insights/webtests,,
microsoft.insights/workbooks,,
Microsoft.IoTCentral/checkNameAvailability,PROTECTED,TRUE
Microsoft.IoTCentral/IoTApps,PROTECTED,TRUE
Microsoft.IoTCentral/operations,PROTECTED,TRUE
Microsoft.KeyVault/deletedVaults,PROTECTED,TRUE
Microsoft.KeyVault/locations/deletedVaults,PROTECTED,TRUE
Microsoft.KeyVault/locations/deleteVirtualNetworkOrSubnets,PROTECTED,TRUE
Microsoft.KeyVault/locations/operationResults,PROTECTED,TRUE
Microsoft.KeyVault/vaults,PROTECTED,TRUE
Microsoft.KeyVault/vaults/accessPolicies,PROTECTED,TRUE
Microsoft.KeyVault/vaults/secrets,PROTECTED,TRUE
Microsoft.LabServices/labaccounts,,TRUE
Microsoft.LabServices/locations/operations,,TRUE
Microsoft.LocationBasedServices/accounts,,
Microsoft.LocationServices/accounts,,
Microsoft.LogAnalytics/logs,UDLM,TRUE
Microsoft.Logic/integrationAccounts,,
Microsoft.Logic/locations,,
Microsoft.Logic/locations/workflows,,
Microsoft.Logic/operations,,
Microsoft.Logic/workflows,,
Microsoft.MachineLearning/commitmentPlans,,
Microsoft.MachineLearning/locations,,
Microsoft.MachineLearning/locations/operations,,
Microsoft.MachineLearning/locations/operationsStatus,,
Microsoft.MachineLearning/operations,,
Microsoft.MachineLearning/webServices,,
Microsoft.MachineLearning/Workspaces,,
Microsoft.MachineLearningCompute/locations,,
Microsoft.MachineLearningCompute/locations/operations,,
Microsoft.MachineLearningCompute/locations/operationsStatus,,
Microsoft.MachineLearningCompute/operationalizationClusters,,
Microsoft.MachineLearningCompute/operations,,
Microsoft.MachineLearningExperimentation/accounts,,
Microsoft.MachineLearningExperimentation/accounts/workspaces,,
Microsoft.MachineLearningExperimentation/accounts/workspaces/projects,,
Microsoft.MachineLearningExperimentation/teamAccounts,,
Microsoft.MachineLearningExperimentation/teamAccounts/workspaces,,
Microsoft.MachineLearningExperimentation/teamAccounts/workspaces/projects,,
